Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight
F,1.1010082884394867,0.15277815798918967,0.2903693307996293,1.8433336874355115,1.333894487473998,0.2287976618637704,0.5212659169232488
M,1.1504071140891223,0.47820708657494504,0.2597837931241485,2.523132377922636,1.4155866488211672,0.4531215436913692,0.9895983145627496
F,0.18120684525298794,0.29699767033309854,0.026365166797428688,0.4086641679316523,1.1930619320780844,0.3497607179574818,0.8040246651716562
F,0.2831266213266174,0.657412023383922,0.16654346764496405,2.329867901607592,1.2943207459191115,0.5002044558571793,0.6371799132468435
I,0.6024133016857085,0.2806524711282184,0.135889384497243,0.16512249923813666,0.5991457597371771,0.00973991799635764,0.3659827740286299
I,0.44001782404270623,0.505456589993277,0.12119113186897569,0.0938574596295581,0.4527339428345336,0.0805888090422407,0.09092372354510284
I,0.5662187735257374,0.12341835914511096,0.13426089510919983,0.7060093363021276,0.13108905526598777,0.16159124381284504,0.13045757151797516
I,0.26321935806666075,0.41952458747871535,0.08909349452593344,0.07678372685506678,0.07600238248224546,0.12496084758329479,0.22472753770034568
M,0.24216982770684511,0.1920907672840129,0.12384479264713154,2.1783144365426237,0.6804393717328563,0.1275644335633721,0.6752641574765303
I,0.13532156343356114,0.3238841203362622,0.13855493263655355,0.968975136795049,0.07075816841482417,0.18030738351741277,0.03407248760950412
F,0.9069997675986963,0.5380766503362266,0.08608655661315316,0.5899920120791404,0.5531615669982783,0.7772585877391515,0.7091167701174913
M,0.022576049126419712,0.447725073041448,0.015019607315528859,1.7753436621588856,0.8426196538173194,0.307597910706943,0.3673220302771384
I,0.2837429265781127,0.4499696823734904,0.09692782812622115,0.13248048371766225,0.6311640607150365,0.057627029618676044,0.038554758889020525
I,0.8396790383150318,0.5586588066789874,0.07187179758170417,0.9425327725447122,0.6809494354409015,0.20280014180321912,0.3161664052228869
F,1.012758675487829,0.6427155116077609,0.16423205857512269,0.5178566428535688,0.43204793586193607,0.9234544709369715,0.5628530473244816
M,1.393132169763409,0.38203185558721553,0.21938896812962919,3.5981082014307084,1.4219980505504173,0.5427355088249852,1.151461650760775
F,0.2784581353613998,0.7585750572443608,0.030982956469927506,3.6465210405554425,2.038180965722324,0.6350769584544703,0.4404663894318815
