Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Sex
0.36680487651653754,0.632527704066397,0.1908310195230636,3.06526680830232,0.10136589863530351,0.32484403255297256,0.29491682895981103,F
0.4974672372746453,0.7142797301517387,0.25842562903268645,2.4377538587785086,0.2530562522347443,0.7560593252296832,0.7220631532109538,F
0.37199338705659496,0.24348849404441794,0.3047083948954046,3.106693854344813,1.0729346857770174,0.8219886386107158,0.03668897233537011,F
0.5804851650232193,0.2923589814206135,0.04135975195036844,2.139670354797768,0.5613269177487092,0.6474628010339324,1.0118988492143943,F
0.6319375151510458,0.7429221719565585,0.033616984827566435,3.695672819766368,0.08773938253456778,0.46639727700656075,0.21785712882176647,F
1.0725112047989636,0.8411795518853501,0.15157073903164675,1.0093544783019324,1.645554204341301,0.15130531339046094,0.6280487757837161,F
0.9907263142520573,0.4588062678452654,0.04441343435796292,3.517141824266986,0.7615640654734225,0.5379122731564097,0.499164503904497,F
0.3203757047862196,0.8206765152219035,0.12863247020423305,2.688286585532921,1.1041604653775787,0.7217655821586406,0.7945030816455947,F
0.9183168189825764,0.9351872519173825,0.07764945798796337,2.6432555712630643,1.1375233532753477,0.21401853265340032,0.6614820083163229,F
0.30272695093436575,0.18263998837794024,0.19937247384292864,1.751871475682569,0.6791538432286423,0.006412175449397184,0.09835839751009785,F
0.27714141164884387,0.4801933302106131,0.21621078732412868,1.6242528217560752,1.1628827012718486,0.6408889816546934,0.360983716780738,F
1.010886208026323,0.7522918940275083,0.21614596719401746,1.0921449801814345,0.009977950830555957,0.7841808963987607,1.066789446887443,F
0.525103907849068,0.8743985026684689,0.26438242003098505,2.948272113451395,0.24282027786220514,0.1003314112811561,0.17759664471390385,F
0.9549975052877724,0.6139062527132725,0.2788680318134833,3.565727615114673,1.560474269460704,0.7631029983095441,0.219572782451059,F
0.17093831561606118,0.930426019407684,0.1619244727342589,1.0463270405863307,1.0975761652574056,0.806883851479957,0.08202063409353558,F
0.8294452474887283,0.7214904955970098,0.09444706226689581,0.10789886578739621,1.4885341829714314,0.48531381388359573,0.3032862819345058,F
