Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
F,0.3668048765165375,0.632527704066397,0.1908310195230636,3.06526680830232,0.1013658986353035,0.3248440325529725,0.294916828959811,Adult
F,0.4974672372746453,0.7142797301517387,0.2584256290326864,2.4377538587785086,0.2530562522347443,0.7560593252296832,0.7220631532109538,Adult
F,0.3719933870565949,0.2434884940444179,0.3047083948954046,3.106693854344813,1.0729346857770174,0.8219886386107158,0.0366889723353701,Adult
F,0.5804851650232193,0.2923589814206135,0.0413597519503684,2.139670354797768,0.5613269177487092,0.6474628010339324,1.0118988492143943,Adult
F,0.6319375151510458,0.7429221719565585,0.0336169848275664,3.695672819766368,0.0877393825345677,0.4663972770065607,0.2178571288217664,Adult
F,1.0725112047989636,0.8411795518853501,0.1515707390316467,1.0093544783019324,1.645554204341301,0.1513053133904609,0.6280487757837161,Adult
F,0.9907263142520571,0.4588062678452654,0.0444134343579629,3.517141824266986,0.7615640654734225,0.5379122731564097,0.499164503904497,Adult
F,0.3203757047862196,0.8206765152219035,0.128632470204233,2.688286585532921,1.1041604653775787,0.7217655821586406,0.7945030816455947,Adult
F,0.9183168189825764,0.9351872519173824,0.0776494579879633,2.6432555712630643,1.1375233532753477,0.2140185326534003,0.6614820083163229,Adult
F,0.3027269509343657,0.1826399883779402,0.1993724738429286,1.751871475682569,0.6791538432286423,0.0064121754493971,0.0983583975100978,Child
F,0.2771414116488438,0.4801933302106131,0.2162107873241286,1.6242528217560752,1.1628827012718486,0.6408889816546934,0.360983716780738,Adult
F,1.010886208026323,0.7522918940275083,0.2161459671940174,1.0921449801814345,0.0099779508305559,0.7841808963987607,1.066789446887443,Child
F,0.525103907849068,0.8743985026684689,0.264382420030985,2.948272113451395,0.2428202778622051,0.1003314112811561,0.1775966447139038,Adult
F,0.9549975052877724,0.6139062527132725,0.2788680318134833,3.565727615114673,1.560474269460704,0.7631029983095441,0.219572782451059,Adult
F,0.1709383156160611,0.930426019407684,0.1619244727342589,1.0463270405863307,1.0975761652574056,0.806883851479957,0.0820206340935355,Adult
F,0.8294452474887283,0.7214904955970098,0.0944470622668958,0.1078988657873962,1.4885341829714314,0.4853138138835957,0.3032862819345058,Adult
F,0.8614190215216571,0.3610515530972971,0.0441571648927163,0.3033289947442752,1.449685356136503,0.3637765192761066,0.720432717824627,Adult
