Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
I,0.332095699523515,0.3818175197093187,0.1579077818050949,0.7410190374099925,0.4047481922776064,0.1725496979459233,0.2139582593793382,Child
I,0.4038047269473923,0.3818198949996964,0.1575378295378559,0.8822834006921174,0.537061404347918,0.093389228897127,0.159912903074629,Adole
I,0.641241959654136,0.0755480600368494,0.0367203976704844,0.504644188766395,0.0123016861177119,0.0126082124514655,0.0391435855137401,Adult
I,0.5080581987909606,0.903326441761707,0.3002784949583691,2.9213938269186643,0.0587435349394618,0.1036374675794653,0.9336280150183266,Child
I,0.5534702951143322,0.0961587912969741,0.0176311266017587,2.56884828222528,0.0979868231944913,0.3438884557161686,0.8188319687720325,Child
I,0.7510475052181714,0.2953856422096214,0.13042275647902,0.7128258902774824,0.3103977679151214,0.0569962036553415,0.226843873076151,Adole
I,0.6192625932983963,0.2063647318834866,0.0493246193621324,0.0607997123238963,0.4161847934712763,0.2688719117633821,0.2004357728743691,Adole
M,1.3387669445766537,1.2335210461250143,0.0652623384104902,2.936602498650234,0.5679752598937164,0.6413678268440652,0.0377944943844402,Adole
I,0.2603965644659348,0.6611946692243642,0.0559747655011747,0.5028018667361875,0.5125175894545632,0.2068095057958951,0.0830460725022061,Child
I,0.2133172981700092,0.5899508936310112,0.065518460400853,0.6386353086788219,0.370069149369883,0.1947554536386698,0.0975669566196952,Child
I,0.454451650516284,0.5536700294336706,0.105506070170039,0.387304875565924,0.1450709186707251,0.0958479837139354,0.1633801063635362,Child
M,0.6549663367555221,0.5644137131694547,0.0302303933850069,0.46065327176537,0.539364392153089,0.9084818704980236,0.3131066845826082,Child
I,0.1160890701576599,0.4910268111947422,0.1437256513515829,0.5640600435446674,0.2377570768874481,0.0188296343334541,0.0295712551239695,Child
I,0.7404019423993841,0.5129278551615187,0.1692718548741391,0.8026592364595588,0.1957240120429363,0.1628854346545473,0.0926127795096929,Adole
F,0.5638370272697203,0.8364860834309068,0.1423661906892646,2.437166222533897,1.2921892468956102,0.276537848060867,0.7397262908470417,Adole
F,1.0402453152642268,0.2256410808762841,0.1971987623622102,1.640025294414163,1.3662958505249805,0.3440660096692092,0.2252384780931992,Child
M,1.6175671992694092,1.0669986051596627,0.2929238775198781,2.220067637526677,0.7755228235739323,0.710208102338694,1.023717058427738,Adult
I,0.2970716428339063,0.4206926583245403,0.0796851928898447,0.0205963032614376,0.1402419361917978,0.1132053754322238,0.207011524208159,Adole
I,0.2698444761330869,0.4129569312099982,0.0767368276674073,0.0192933252023446,0.0830853831749074,0.1257115943892338,0.2108242812203647,Adole
F,0.0651460513917809,0.4464848120632359,0.1534868418890258,3.988195126775491,0.9269587812558058,0.3044964300860007,0.0286850680177594,Child
M,1.3599207943077172,0.3851930745938304,0.2197243315118769,3.561271564992744,1.383399589312306,0.5397756826681743,1.1495385036392942,Child
