Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
0,0.5075727871182666,0.09553573546726617,0.512359376475918,0.44928814470693923,0.6082372938496483,0.22928125336094177,0.376956840368745,2.0
2,0.5708558152039447,0.30534449533138086,0.4590313104157499,0.5451945115984755,0.6273594769939785,0.4536328565232538,0.6936452716429053,0.0
0,0.09916091336447845,0.1823845521476457,0.06651897686926332,0.09804249352816652,0.529095800001504,0.35590263631570407,0.5566072522547711,1.0
0,0.13229169470410748,0.44304369118416626,0.27289657639253834,0.4727102546744052,0.576150194199761,0.4783885482456481,0.43953640281089784,2.0
1,0.3129984371894676,0.17870938849068552,0.239147512032866,0.03459374673733842,0.2519238868314472,0.022481901072503065,0.26357717803060565,1.0
1,0.17714376890108474,0.35839917199912363,0.21640095243903215,0.0008285152235559127,0.21143581697794606,0.09044202837732133,0.074721090234917,1.0
1,0.2854949305657169,0.10238848692371505,0.24077913662468492,0.16093947482994364,0.05380961399611263,0.16780272815089237,0.08981370865194777,1.0
1,0.12952962935755255,0.290752741616366,0.12787757411986442,0.005693554013886836,0.025024905681866452,0.11126600285525093,0.1406055377190782,0.0
2,0.09930794005610562,0.11010952054042442,0.21500897194297092,0.46295464449231194,0.29592649566217727,0.1102332688042099,0.45512885389891883,1.0
1,0.05102449777206214,0.2201728086032775,0.24366588575747558,0.19420863438129424,0.02167533786478595,0.1594711768330724,0.017522099966674795,1.0
0,0.45815617234880607,0.36794557759930074,0.15287583554179848,0.140096503905854,0.23737584265587353,0.7519816140776201,0.4737663196155446,2.0
2,0.008243811021200118,0.2973446083524993,0.014718409579995515,0.3898814125873712,0.3815973558080874,0.3108652991280248,0.2568005513602247,0.0
1,0.1135767045528994,0.3050625944491369,0.20154655009306582,0.013473896932318754,0.2957847489221038,0.05113534637896238,0.024109633609745208,1.0
1,0.4213409310257436,0.3999668395713248,0.10717712268027696,0.19928213127369163,0.29897998436758694,0.2016826300407962,0.21411858342016524,2.0
0,0.4846736452057964,0.428828553258278,0.3182818156402446,0.123568662245535,0.17154812143041628,0.878335065199137,0.3838861407607921,2.0
2,0.6886133459074958,0.28709240135524755,0.38194273109649973,0.7556002843175591,0.6134502206007585,0.5115637348174523,0.8039538986695935,0.0
0,0.12564463519632157,0.5309034622049462,0.05622926930601733,0.7595656483191161,0.8937188148215836,0.5953722767714171,0.31175448618072665,0.0
0,0.3752034848214447,0.13604833487891543,0.37581528867596886,0.44155628896747173,0.5856241008419061,0.5838405373883039,0.269476181069269,2.0
0,0.16378526613848046,0.12781675820693858,0.44025023959421195,0.5228691940324608,0.8825738649360622,0.3017902152262801,0.0310929044091436,2.0
2,0.46643644463117423,0.5049080900410509,0.5017607605180545,0.6014120558008432,0.02651395433522431,0.3992916618395369,0.2769691748034146,2.0
2,0.3938754294277604,0.5997630045239848,0.004005834044977083,0.8460614882923734,0.4288619212746172,0.19627562451121908,0.5885187382826275,0.0
2,0.2936531063235869,0.3247540219947413,0.31597914958025836,0.2680627995539577,0.26133667826967333,0.2860231724252701,0.253928687166981,2.0
2,0.13111053070344658,0.19864640513581155,0.7859549963359066,0.5249182388833677,0.687377494539903,0.578227021981042,0.37700698130179994,2.0
0,0.3666898106619823,0.5583022893898331,0.04897489009674505,0.5433322631286157,0.8055104165736424,0.05870063420043183,0.26344015878358495,2.0
2,0.7466901935851111,0.5980250380251849,0.5157248721580117,0.6179272784065574,0.46350948002880327,0.1087784191584976,0.42486082650245427,2.0
1,0.3082186941042686,0.13501825167889708,0.18057583427553162,0.09078579921319349,0.28458865852902054,0.11562151685206637,0.001454974217392357,1.0
0,0.11471359016809476,0.5745771998247857,0.2846014747491781,0.49852823313304456,0.817290271331523,0.2672175393995063,0.44033907224019603,2.0
0,0.5210467771464502,0.12740187230681302,0.32736479429392773,0.36428092788217226,0.6191379537050314,0.30659804478613173,0.1419704755296728,2.0
0,0.2853851976253338,0.2805891296591049,0.27769358871841676,0.14610558991926212,0.14282212113156081,0.1404173370895161,0.12747342017351704,0.0
1,0.04437907496740596,0.34885520869143566,0.2560035745934076,0.11660179826968955,0.11288927578101908,0.022786851071312158,0.021334255983277827,2.0
2,0.1884050351339746,0.14058394657866738,0.6572297376080701,0.9411392195921967,0.4741370479339539,0.7218108236367577,0.42593598678621547,0.0
2,0.33717957960465705,0.38071042827679374,0.333299691963626,0.2825405472552892,0.2245636893019643,0.2456225498009498,0.299014796789818,2.0
1,0.29604623916352024,0.05950868438986555,0.10157115812874984,0.24281539930021245,0.17360318979468792,0.07723941456950394,0.3068949387684309,1.0
1,0.384482590961415,0.21544641298875739,0.20330550480784731,0.1476148199405788,0.15674236941588077,0.060864522123206484,0.1602334177361921,0.0
1,0.14064081773275014,0.17138990546237365,0.16029497925826977,0.2046860809513114,0.06167952712118342,0.12632093795784144,0.058172732717361876,1.0
1,0.15522806824072427,0.23717890242371703,0.2605826909108367,0.08135184086082596,0.0442307163780655,0.15906445099770608,0.027028115781569734,0.0
1,0.2406200999394733,0.29530792743625633,0.23822266354202168,0.13298348384387268,0.019886867225155258,0.2282007657779063,0.009520158512131657,1.0
0,0.2275081298090641,0.2453648315726084,0.2215160968971467,0.07366055742328054,0.08420481592593111,0.09467191450720529,0.08753601402963884,1.0
1,0.2090523829257995,0.4014328954367912,0.11357631428589793,0.15474917299718494,0.01672340218118074,0.2048984460547201,0.08370831919806143,1.0
2,0.07580052889384183,0.843787650974749,0.6696630137683935,0.12370515666567233,0.44656448678504923,0.6385204238313833,0.5485267956182405,2.0
2,0.7131364489522634,0.5969862610512395,0.2276779694798281,0.5111744529235255,0.18496368798576068,0.798925524848453,0.18282695290800097,2.0
0,0.5205022398774644,0.28585755725781725,0.5754138399843789,0.9995365788341468,0.680291951520056,0.560533073146314,0.40499894210313436,1.0
1,0.2920060864020163,0.30105226368717347,0.1875486643741184,0.05858026258687229,0.2703715258691208,0.011611002453968032,0.2665287460917119,0.0
1,0.22647136676877141,0.35510881018849955,0.15867625974542435,0.14299681057563265,0.19327191434338978,0.05370297597415556,0.0817694796622918,0.0
0,0.5409912023809353,0.3184866804041863,0.2530277264255396,0.34675677829614593,0.3199560734935249,0.5685780680149585,0.15333346586017024,2.0
2,0.8963959944556524,0.03241366993630224,0.47241725903311016,0.11365960443082058,0.36852760670714346,0.6604640324206105,0.4528309259711445,2.0
0,0.1405102249452317,0.12838535252673236,0.043529535505113445,0.47988678298814447,0.10357203868169985,0.06208157710642134,0.4992707515095141,1.0
1,0.13292306618092575,0.45137071817841257,0.22772457500960094,0.06946126498706282,0.2478095602614689,0.20690526287204755,0.08662175675694235,0.0
1,0.09058223794186163,0.4538453144508818,0.1386989130959476,0.09656566925634154,0.015692483649065607,0.16663359017679638,0.21504181999778066,0.0
1,0.1915900579282918,0.3527864963076317,0.20418348972112918,0.012947705290786312,0.2009560265665764,0.07457837666417151,0.06385375626405489,1.0
2,0.7408293559855287,0.6137416962387127,0.50147707509873,0.6283216264755899,0.4355613639886112,0.10170259162505407,0.43462170448870513,2.0
